experience_id, description, video_path, tmp_path, experience_lexemes, notes
312,vase_20020809_down1L,./experiences/vase_20020809_down1L.avi,vase_20020809_down1L,hand putdown vase,3;split
313,vase_20020809_down1R,./experiences/vase_20020809_down1R.avi,vase_20020809_down1R,hand putdown vase,2;
314,vase_20020809_down2L,./experiences/vase_20020809_down2L.avi,vase_20020809_down2L,hand putdown vase,4;
315,vase_20020809_down2R,./experiences/vase_20020809_down2R.avi,vase_20020809_down2R,hand putdown vase,2;
316,vase_20020809_push1L,./experiences/vase_20020809_push1L.avi,vase_20020809_push1L,hand push vase,2;
317,vase_20020809_push1R,./experiences/vase_20020809_push1R.avi,vase_20020809_push1R,hand push vase,3;split
325,vase_20020809_up1R,./experiences/vase_20020809_up1R.avi,vase_20020809_up1R,hand pickup vase,2;
326,vase_20020809_up2L,./experiences/vase_20020809_up2L.avi,vase_20020809_up2L,hand pickup vase,2;
327,vase_20020809_up2R,./experiences/vase_20020809_up2R.avi,vase_20020809_up2R,hand pickup vase,2;
4,ani_ball_touch1,./experiences/ball_touch1.avi,ball_touch1,hand touch ball,5;animation
6,ani_cube_down1,./experiences/cube_down1.avi,cube_down1,hand putdown cube,5;animation
5,ani_cube_up1,./experiences/cube_up1.avi,cube_up1,hand pickup cube,5;animation
58,bluebowl_20020809_up1L,./experiences/bluebowl_20020809_up1L.avi,bluebowl_20020809_up1L,hand pickup bowl,3;drop
59,bluebowl_20020809_up1R,./experiences/bluebowl_20020809_up1R.avi,bluebowl_20020809_up1R,hand pickup bowl,2;
1,ani_ball_up1,./experiences/ball_up1.avi,ball_up1,hand pickup ball,5;animation
8,ani_cube_touch1,./experiences/cube_touch1.avi,cube_touch1,hand touch cube,5;animation
60,bluebowl_20020809_up2L,./experiences/bluebowl_20020809_up2L.avi,bluebowl_20020809_up2L,hand pickup bowl,3;drop
266,greenring_20020809_down2L,./experiences/greenring_20020809_down2L.avi,greenring_20020809_down2L,hand putdown ring,4;drop
267,greenring_20020809_down2R,./experiences/greenring_20020809_down2R.avi,greenring_20020809_down2R,hand putdown ring,3;drop
268,greenring_20020809_drop1L,./experiences/greenring_20020809_drop1L.avi,greenring_20020809_drop1L,hand drop ring,4;drop
269,greenring_20020809_drop1R,./experiences/greenring_20020809_drop1R.avi,greenring_20020809_drop1R,hand drop ring,4;drop
270,greenring_20020809_drop2L,./experiences/greenring_20020809_drop2L.avi,greenring_20020809_drop2L,hand drop ring,4;drop
271,greenring_20020809_drop2R,./experiences/greenring_20020809_drop2R.avi,greenring_20020809_drop2R,hand drop ring,3;drop
272,greenring_20020809_drop3L,./experiences/greenring_20020809_drop3L.avi,greenring_20020809_drop3L,hand drop ring,4;drop
273,greenring_20020809_roll1L,./experiences/greenring_20020809_roll1L.avi,greenring_20020809_roll1L,hand roll ring,4;drop
274,greenring_20020809_roll1R,./experiences/greenring_20020809_roll1R.avi,greenring_20020809_roll1R,hand roll ring,2;
275,greenring_20020809_roll2L,./experiences/greenring_20020809_roll2L.avi,greenring_20020809_roll2L,hand roll ring,4;
276,greenring_20020809_roll2R,./experiences/greenring_20020809_roll2R.avi,greenring_20020809_roll2R,hand roll ring,3;drop
277,greenring_20020809_touch1L,./experiences/greenring_20020809_touch1L.avi,greenring_20020809_touch1L,hand touch ring,4;drop
278,greenring_20020809_touch1R,./experiences/greenring_20020809_touch1R.avi,greenring_20020809_touch1R,hand touch ring,4;drop
279,greenring_20020809_touch2L,./experiences/greenring_20020809_touch2L.avi,greenring_20020809_touch2L,hand touch ring,4;drop
280,greenring_20020809_touch2R,./experiences/greenring_20020809_touch2R.avi,greenring_20020809_touch2R,hand touch ring,3;drop
281,greenring_20020809_up1L,./experiences/greenring_20020809_up1L.avi,greenring_20020809_up1L,hand pickup ring,3;drop
282,greenring_20020809_up1R,./experiences/greenring_20020809_up1R.avi,greenring_20020809_up1R,hand pickup ring,3;drop
283,greenring_20020809_up2L,./experiences/greenring_20020809_up2L.avi,greenring_20020809_up2L,hand pickup ring,4;drop
284,greenring_20020809_up2R,./experiences/greenring_20020809_up2R.avi,greenring_20020809_up2R,hand pickup ring,4;drop
285,orangecup_20020809_down1L,./experiences/orangecup_20020809_down1L.avi,orangecup_20020809_down1L,hand putdown cup,2;
