parameter_experience_id, parameter_id, experience_id, calc_status_code, calc_timestamp
870,11,217,0,2004-02-09 09:40:00
871,11,218,0,2004-02-09 09:42:00
872,11,219,0,2004-02-09 09:43:00
505,13,171,0,2003-05-22 11:52:00
506,13,172,0,2003-05-22 11:54:00
507,13,173,0,2003-05-22 11:57:00
508,13,174,0,2003-05-22 11:59:00
509,13,175,0,2003-05-22 12:03:00
510,13,176,0,2003-05-22 12:06:00
512,13,178,0,2003-05-22 12:08:00
514,13,180,0,2003-05-22 12:10:00
518,13,184,0,2003-05-22 12:12:00
519,13,185,0,2003-05-22 12:15:00
520,13,186,0,2003-05-22 12:16:00
521,13,187,0,2003-05-22 12:18:00
522,13,188,0,2003-05-22 12:20:00
523,13,189,0,2003-05-22 12:22:00
524,13,190,0,2003-05-22 12:23:00
525,13,191,0,2003-05-22 12:26:00
526,13,192,0,2003-05-22 12:28:00
527,13,193,0,2003-05-22 12:30:00
528,13,194,0,2003-05-22 12:32:00
529,13,195,0,2003-05-22 12:34:00
548,13,214,0,2003-05-22 12:36:00
550,13,216,0,2003-05-22 12:38:00
551,13,217,0,2003-05-22 12:40:00
874,11,221,0,2004-02-09 09:44:00
775,11,122,0,2004-02-09 09:47:00
776,11,123,0,2004-02-09 09:50:00
782,11,129,0,2004-02-09 09:53:00
784,11,131,0,2004-02-09 09:55:00
785,11,132,0,2004-02-09 09:58:00
786,11,133,0,2004-02-09 10:01:00
787,11,134,0,2004-02-09 10:04:00
788,11,135,0,2004-02-09 10:07:00
789,11,136,0,2004-02-09 10:10:00
790,11,137,0,2004-02-09 10:12:00
792,11,139,0,2004-02-09 10:15:00
793,11,140,0,2004-02-09 10:17:00
794,11,141,0,2004-02-09 10:20:00
795,11,142,0,2004-02-09 10:23:00
796,11,143,0,2004-02-09 10:24:00
797,11,144,0,2004-02-09 10:27:00
579,13,245,0,2003-05-22 13:11:00
581,13,247,0,2003-05-22 13:13:00
582,13,248,0,2003-05-22 13:16:00
583,13,249,0,2003-05-22 13:19:00
585,13,251,0,2003-05-22 13:21:00
587,13,253,0,2003-05-22 13:22:00
589,13,255,0,2003-05-22 13:24:00
590,13,256,0,2003-05-22 13:25:00
591,13,257,0,2003-05-22 13:27:00
592,13,258,0,2003-05-22 13:29:00
593,13,259,0,2003-05-22 13:31:00
608,13,274,0,2003-05-22 13:33:00
619,13,285,0,2003-05-22 13:34:00
335,9,2,0,2003-05-21 15:58:00
336,9,3,0,2003-05-21 16:00:00
337,9,4,0,2003-05-21 16:01:00
338,9,1,0,2003-05-21 16:02:00
339,9,6,0,2003-05-21 16:03:00
340,9,7,0,2003-05-21 16:04:00
341,9,8,0,2003-05-21 16:05:00
342,9,5,0,2003-05-21 16:06:00
343,13,9,0,2003-05-21 16:42:00
347,13,13,0,2003-05-21 16:45:00
348,13,14,0,2003-05-21 16:47:00
349,13,15,0,2003-05-21 16:49:00
350,13,16,0,2003-05-21 16:51:00
351,13,17,0,2003-05-21 16:53:00
352,13,18,0,2003-05-21 16:56:00
353,13,19,0,2003-05-21 16:58:00
354,13,20,0,2003-05-21 17:01:00
355,13,21,0,2003-05-21 17:03:00
356,13,22,0,2003-05-21 17:06:00
357,13,23,0,2003-05-21 17:08:00
358,13,24,0,2003-05-21 17:10:00
359,13,25,0,2003-05-21 17:11:00
360,13,26,0,2003-05-21 17:12:00
361,13,27,0,2003-05-21 17:13:00
362,13,28,0,2003-05-21 17:14:00
363,13,29,0,2003-05-21 17:15:00
365,13,31,0,2003-05-21 17:16:00
366,13,32,0,2003-05-21 17:18:00
367,13,33,0,2003-05-21 17:20:00
368,13,34,0,2003-05-21 17:22:00
369,13,35,0,2003-05-21 17:24:00
370,13,36,0,2003-05-21 17:27:00
371,13,37,0,2003-05-21 17:29:00
372,13,38,0,2003-05-21 17:31:00
631,13,297,0,2003-05-22 13:37:00
634,13,300,0,2003-05-22 13:40:00
798,11,145,0,2004-02-09 10:29:00
799,11,146,0,2004-02-09 10:31:00
800,11,147,0,2004-02-09 10:33:00
801,11,148,0,2004-02-09 10:36:00
802,11,149,0,2004-02-09 10:38:00
635,13,301,0,2003-05-22 13:43:00
636,13,302,0,2003-05-22 13:46:00
637,13,303,0,2003-05-22 13:49:00
638,13,304,0,2003-05-22 13:52:00
639,13,305,0,2003-05-22 13:55:00
640,13,306,0,2003-05-22 13:57:00
641,13,307,0,2003-05-22 14:00:00
647,13,313,0,2003-05-22 14:03:00
649,13,315,0,2003-05-22 14:05:00
650,13,316,0,2003-05-22 14:08:00
652,13,318,0,2003-05-22 14:10:00
653,13,319,0,2003-05-22 14:13:00
654,13,320,0,2003-05-22 14:16:00
655,13,321,0,2003-05-22 14:19:00
656,13,322,0,2003-05-22 14:21:00
657,13,323,0,2003-05-22 14:25:00
658,13,324,0,2003-05-22 14:27:00
659,13,325,0,2003-05-22 14:32:00
660,13,326,0,2003-05-22 14:34:00
661,13,327,0,2003-05-22 14:36:00
374,13,40,0,2003-05-22 14:39:00
375,13,41,0,2003-05-22 14:41:00
376,13,42,0,2003-05-22 14:44:00
378,13,44,0,2003-05-22 14:45:00
380,13,46,0,2003-05-22 14:47:00
381,13,47,0,2003-05-22 14:50:00
382,13,48,0,2003-05-22 14:52:00
383,13,49,0,2003-05-22 14:55:00
384,13,50,0,2003-05-22 15:02:00
385,13,51,0,2003-05-22 15:04:00
386,13,52,0,2003-05-22 15:07:00
387,13,53,0,2003-05-22 15:10:00
388,13,54,0,2003-05-22 15:12:00
389,13,55,0,2003-05-22 15:14:00
390,13,56,0,2003-05-22 15:16:00
391,13,57,0,2003-05-22 15:19:00
393,13,59,0,2003-05-22 15:21:00
395,13,61,0,2003-05-22 15:24:00
404,13,70,0,2003-05-22 15:26:00
405,13,71,0,2003-05-22 15:28:00
406,13,72,0,2003-05-22 15:31:00
407,13,73,0,2003-05-22 15:33:00
408,13,74,0,2003-05-22 15:35:00
409,13,75,0,2003-05-22 15:37:00
803,11,150,0,2004-02-09 10:40:00
804,11,151,0,2004-02-09 10:41:00
805,11,152,0,2004-02-09 10:43:00
806,11,153,0,2004-02-09 10:45:00
808,11,155,0,2004-02-09 10:47:00
809,11,156,0,2004-02-09 10:49:00
810,11,157,0,2004-02-09 10:52:00
811,11,158,0,2004-02-09 10:55:00
812,11,159,0,2004-02-09 10:58:00
813,11,160,0,2004-02-09 11:00:00
815,11,162,0,2004-02-09 11:02:00
816,11,163,0,2004-02-09 11:03:00
817,11,164,0,2004-02-09 11:04:00
818,11,165,0,2004-02-09 11:07:00
820,11,167,0,2004-02-09 11:10:00
821,11,168,0,2004-02-09 11:14:00
822,11,169,0,2004-02-09 11:16:00
823,11,170,0,2004-02-09 11:18:00
824,11,171,0,2004-02-09 11:21:00
825,11,172,0,2004-02-09 11:23:00
826,11,173,0,2004-02-09 11:25:00
827,11,174,0,2004-02-09 11:27:00
758,11,105,0,2004-02-09 14:00:00
760,11,107,0,2004-02-09 14:03:00
761,11,108,0,2004-02-09 14:05:00
762,11,109,0,2004-02-09 14:07:00
765,11,112,0,2004-02-09 14:10:00
766,11,113,0,2004-02-09 14:14:00
767,11,114,0,2004-02-09 14:17:00
768,11,115,0,2004-02-09 14:19:00
769,11,116,0,2004-02-09 14:22:00
772,11,119,0,2004-02-09 14:26:00
773,11,120,0,2004-02-09 14:28:00
864,11,211,0,2004-02-09 14:32:00
865,11,212,0,2004-02-09 14:35:00
867,11,214,0,2004-02-09 14:37:00
898,11,245,0,2004-02-09 14:39:00
899,11,246,0,2004-02-09 14:41:00
900,11,247,0,2004-02-09 14:43:00
662,11,9,0,2004-02-09 14:46:00
666,11,13,0,2004-02-09 14:49:00
667,11,14,0,2004-02-09 14:51:00
668,11,15,0,2004-02-09 14:53:00
669,11,16,0,2004-02-09 14:55:00
901,11,248,0,2004-02-09 14:57:00
902,11,249,0,2004-02-09 15:01:00
904,11,251,0,2004-02-09 15:03:00
906,11,253,0,2004-02-09 15:04:00
908,11,255,0,2004-02-09 15:05:00
909,11,256,0,2004-02-09 15:07:00
910,11,257,0,2004-02-09 15:09:00
911,11,258,0,2004-02-09 15:10:00
912,11,259,0,2004-02-09 15:12:00
918,11,265,0,2004-02-09 15:15:00
920,11,267,0,2004-02-09 15:17:00
924,11,271,0,2004-02-09 15:20:00
927,11,274,0,2004-02-09 15:24:00
929,11,276,0,2004-02-09 15:25:00
933,11,280,0,2004-02-09 15:27:00
934,11,281,0,2004-02-09 15:29:00
935,11,282,0,2004-02-09 15:32:00
938,11,285,0,2004-02-09 15:34:00
939,11,286,0,2004-02-09 15:37:00
941,11,288,0,2004-02-09 15:39:00
942,11,289,0,2004-02-09 15:44:00
944,11,291,0,2004-02-09 15:48:00
945,11,292,0,2004-02-09 15:50:00
949,11,296,0,2004-02-09 15:53:00
950,11,297,0,2004-02-09 15:56:00
951,11,298,0,2004-02-09 15:58:00
952,11,299,0,2004-02-09 16:00:00
953,11,300,0,2004-02-09 16:03:00
954,11,301,0,2004-02-09 16:06:00
955,11,302,0,2004-02-09 16:09:00
956,11,303,0,2004-02-09 16:12:00
957,11,304,0,2004-02-09 16:15:00
958,11,305,0,2004-02-09 16:18:00
959,11,306,0,2004-02-09 16:20:00
